問題,元の過去問,回答,他の選択肢,他の選択肢,他の選択肢
別の利用者のブログ記事へのリンクを張ると、リンクが張られた相手に対してその旨を通知する仕組み,R1A069,トラックバック,コメント投稿サービス,ソーシャルブックマーク,ソーシャルボタン
一般利用者が、気になるニュースへのリンクやコメントなどを投稿するサービス,R1A069,コメント投稿サービス,ソーシャルブックマーク,ソーシャルボタン,トラックバック
ネットワーク上にブックマークを登録することによって、利用価値の高いWebサイト情報を他の利用者と共有するサービス,R1A069,ソーシャルブックマーク,ソーシャルボタン,トラックバック,コメント投稿サービス
ブログに貼り付けたボタンをクリックすることによって、SNSなどのソーシャルメディア上でリンクなどの情報を共有する機能,R1A069,ソーシャルボタン,トラックバック,コメント投稿サービス,ソーシャルブックマーク
ITの活用によって、個人の学習履歴を蓄積、解析し、学習者一人一人の学習進行度や理解度に応じて最適なコンテンツを提供することによって、学習の効率を高める仕組み,R4004,アダプティブラーニング,タレントマネジメント,ディープラーニング,ナレッジマネジメント
(売上総利益)-(販売費及び一般管理費),R4030,営業利益,売上総利益,税引き前当期純利益,当期純利益
(売上高)-(売上原価),R4030,売上総利益,税引き前当期純利益,当期純利益,営業利益
(経常利益)+(特別利益)-(特別損失),R4030,税引き前当期純利益,当期純利益,営業利益,売上総利益
(税引き前当期純利益)-(法人税、住民税及び事業税),R4030,当期純利益,営業利益,売上総利益,税引き前当期純利益
電気通信分野の国際標準化機関,R3002,ITU,ICANN,IEC,IEEE
企業内のさまざまなシステムに蓄積されている定型又は非定型的なデータを、一元的に検索するための仕組み,R3004,エンタープライズリサーチ,コーパス,スキャナ,-
自然言語処理を実現するための基礎データともなる、電子化された大量の例文データベース,R3004,コーパス,スキャナ,エンタープライズリサーチ,-
写真や書類などを工学的に読み取り、ディジタルデータ化するための画像入力装置,R3004,スキャナ,エンタープライズリサーチ,コーパス,-
情報システムや業務プロセスの現状を把握し、あるべき企業の姿とのギャップを埋めるための目標を設定し、全体最適化を図ること,R3004,エンタープライズアーキテクチャ,,,
ソフトウェアやハードウェアなどの各種リソースを、インターネットなどのネットワークを経由して、オンデマンドでスケーラブルに利用すること,R3005,クラウドコンピューティング,集中処理システム,EUC,グリッドコンピューティング
システム全体を管理する大型汎用機などのコンピュータに、データを一極集中させて処理すること,R3005,集中処理システム,EUC,グリッドコンピューティング,クラウドコンピューティング
情報システム部門以外の人が自らコンピュータを操作し、自分や自部門の業務に役立てること,R3005,EUC,グリッドコンピューティング,クラウドコンピューティング,集中処理システム
ネットワークを介して、複数台のコンピュータに処理を分散させ、処理結果を共有すること,R3005,グリッドコンピューティング,クラウドコンピューティング,集中処理システム,EUC
同一難易度の複数プログラムから成るソフトウェアのテスト工程での品質管理において、各プログラムの単位ステップ数あたりのバグ数をグラフ化し、上限・下限の限界値を超えるものを異常なプログラムとして検出したい。作成する図として適切なもの,R3040,管理図,特性要因図,パレート図,レーダーチャート
システム開発プロジェクトにおいて、利用者から出た要望に対応するために、プログラムを追加で作成することになった。このプログラムを作成するにあたり。先行するプログラムの作成を終えたプログラマを割り当てることにした、そして、結合テストの開始予定日までに全てのプログラムが作成できるようにスケジュールを変更し、新たな計画をプロジェクト内に周知した。このように、変更要求をマネジメントする活動。,R3042,プロジェクト結合マネジメント,プロジェクト資源マネジメント,プロジェクトスコープマネジメント,プロジェクトスケジュールマネジメント
ITサービスの提供とサポートに対して、ベストプラクティスを提供している,R3045,ITIL,共通フレーム,CMMI,PMBOK
ITシステム開発とその取引の適正化に向けて、作業項目を一つ一つ定義し、標準化している,R3045,共通フレーム,CMMI,PMBOK,ITIL
ソフトウェア開発組織の成熟度を他段階のレベルで定義している,R3045,CMMI,PMBOK,ITIL,共通フレーム
プロジェクトマネジメントの知識を体系化している,R3045,PMBOK,ITIL,共通フレーム,CMMI
システム開発プロジェクトにおいて、成果物として定義された画面・帳簿の一覧と、実際に作成された画面・帳簿の数を比較して、開発中に生じた差異とその理由を確認するプロジェクトマネジメント活動,R3047,プロジェクトスコープマネジメント,プロジェクト資源マネジメント,プロジェクト調査マネジメント,プロジェクト品質マネジメント
自社の事業内容、組織の特性及び所有する情報資産の特徴を考慮して策定する,R3096,情報セキュリティ方針,,,
売上高/平均在庫高,H28A017,在庫回転率,在庫回転期間,総資産回転率,-
平均在庫高/売上高,H28A017,在庫回転期間,総資産回転率,在庫回転率,-
売上高/総資産,H28A017,総資産回転率,在庫回転率,在庫回転期間,-
季語用や組織のビジョンと戦略を、四つの視点（”財務の視点”、”顧客の視点”、業務プロセスの視点”、”成長と学習の視点”）から具体的な行動へと変換して計画・管理し、戦略の立案と実行・評価を支援するための経営管理手法,R2006,BSC,バリューチェーン,PPM分析,SWOT分析
製品やサービスを顧客に提供するという企業活動を、調達、開発、製造、販売、サービスといったそれぞれの業務が、一連の流れの中で順次、価値とコストを付加・蓄積していくものと捉え、この連鎖的活動によって顧客に向けた最終的な”価値”は生み出されるとする考え方,R2006,バリューチェーン,PPM分析,SWOT分析,BSC
多種類の製品を生産・販売したり、複数の事業を行ったりしている企業が、戦略的観点から経営資源の配分が最も効率的・効果的となる製品・事業相互の組み合わせを決定するための経営手法のこと,R2006,PPM分析,SWOT分析,BSC,バリューチェーン
目標を達成するために意思決定を行う組織や個人の、プロジェクトやベンチャービジネスなどにおける、強み、弱み、機会、脅威を評価するのに用いられる経営戦略手法,R2006,SWOT分析,BSC,バリューチェーン,PPM分析
機能を実現するために考え出された独創的な発明,R2016,特許法,意匠法,商標,-
新製品の形状、模様、色彩など、斬新的な発想で創作されたデザイン,R2016,意匠法,商標,特許法,-
新製品発表に向けて考えださえれた新製品のブランド名,R2016,商標,特許法,意匠法,-
企業間での商取引の情報の書式や通信手順を統一し、電子的に情報交換を行う仕組み,R2027,EDI,EIP,ERP,ETC
機能追加に対応するために、納期を変更するか要員を追加するかを検討する,R2040,プロジェクト結合マネジメント,プロジェクトコストマネジメント,プロジェクトスコープマネジメント,プロジェクトスケジュールマネジメント
機能追加に掛かる費用を見積もり、必要な予算を確保する,R2040,プロジェクトコストマネジメント,プロジェクトスコープマネジメント,プロジェクトスケジュールマネジメント,プロジェクト結合マネジメント
機能追加のために必要な作業や成果物を明確にし、WBSを更新する,R2040,プロジェクトスコープマネジメント,プロジェクトスケジュールマネジメント,プロジェクト結合マネジメント,プロジェクトコストマネジメント
機能追加のための処方期間を見積もり、スケジュールを変更する,R2040,プロジェクトスケジュールマネジメント,プロジェクト結合マネジメント,プロジェクトコストマネジメント,プロジェクトスコープマネジメント
プロジェクトのゴールなどを検討するに当たり、集団でアイディアを出し合った結果をグループ分けして体系的に整理する手法,R2053,親和図法,インタビュー,ブレーンストーミング,プロトタイプ
プロジェクトのゴールなどを検討するに当たり、集団でアイディアを出し合った結果をグループ分けして体系的に整理する手法,R2053,KJ法,インタビュー,ブレーンストーミング,プロトタイプ
Iotデバイスから送られてくる外気温のデーだを受信する,R2099,センター,Iotサーバー,Iotデバイス,アクチュエーター
Iotデバイスに対して窓の開閉指示を送信する,R2099,Iotサーバー,Iotデバイス,アクチュエーター,センター
外気温を電気信号に変換するIotを構成する要素,R2099,Iotデバイス,アクチュエーター,センター,Iotサーバー
窓を開閉するIotを構成する要素,R2099,アクチュエーター,センター,Iotサーバー,Iotデバイス
A社では営業部員の行動予定を把握したい。この時に利用するソフトウェア,H30H013,グループウェア,CRMソフトウェア,EPRソフトウェア,SCMソフトウェア
受発注や決済などの業務で、ネットワークを利用して企業間でデータをやり取りするもの,H30H022,EDI,B to C,CDN,SNS
技術開発戦略の立案、技術開発計画の策定などを行うマネジメント分野,H30H028,MOT,M&A,MBA,MBO
開発したシステムの利用者や、開発部門の担当者などのプロジェクトに関わる個人や組織,H30H036,ステークホルダー,プロジェクトスポンサー,リスク,プロジェクトスコープ
システム開発の費用を負担するスポンサ,H30H036,プロジェクトスポンサー,リスク,プロジェクトスコープ,ステークホルダー
プロジェクトにマイナスの影響を与える可能性のある事象又はプラスの影響を与える可能性のある事象,H30H036,リスク,プロジェクトスコープ,ステークホルダー,プロジェクトスポンサー
プロジェクトの成果物や、成果物を作成するために行う作業,H30H036,プロジェクトスコープ,ステークホルダー,プロジェクトスポンサー,リスク
システム監査の実施後に、評価結果を受けて被監査部門がまとめるもの,H30H042,改善計画書,監査証拠,サービスレベル合意書,システム監査報告書
SSL/TLSによる通信内容の暗号化を実現させるために用いるもの,H30H057,サーバ証明書,ESSID,WPA2,ファイアウォール
ノートPCやタブレット端末などに接続して利用する機能拡張用の機器であり、シリアルポートやパラレルポート、HDMI端子、LAN端子などの複数種類の接続端子をもつもの,H30H071,ポートリプリケータ,PS/2ポート,USBハブ,拡張スロット
IEEE 802. 11伝送規格を使用した異なるメーカの無線LAN製品同士で相互接続性が保証されていることを示すブランド名,H30H088,Wi-Fi,MVNO,NFC,WPA2
利用者は最初に1回だけ認証を受ければ、許可されている複数のサービスを利用できるので、利便性が高い,H30H091,シングルサインオン,RAID,二要素認証,シンクライアントシステム
データを保存するときに、データは複数のディスクに自動的に分散配置されるので、可用性が高い,H30H091,RAID,二要素認証,シンクライアントシステム,シングルサインオン
パスワードに加えて指紋や虹彩による認証を行うので、機密性が高い,H30H091,二要素認証,シンクライアントシステム,シングルサインオン,RAID
データの処理や保存などがサーバ側で行われ、端末内にデータが残らないので、情報漏洩対策として効果的である,H30H091,シンクライアントシステム,シングルサインオン,RAID,二要素認証
情報漏洩などの犯罪に対する法的証拠となりうるデータを収集して保全する,H30H097,ディジタルフォレンジング,,,
コーポレートガバナンスに基づく統制を評価する対象,H30A010,取締役会の実効性,執行役員の業務成績,会社員の勤務時間,当該企業の法人株主である企業における財務の健全性
営業秘密となっている他社の技術情報を、第三者から不正に入手した,H30A032,不正競争防止法,著作権法,個人情報保護法,-
会社がライセンス購入したソフトウェアパッケージを、不正に個人のPCにインストールした,H30A032,著作権法,個人情報保護法,不正競争防止法,-
キャンペーン応募者の個人情報を、本人に無断で他の目的に利用した,H30A032,個人情報保護法,不正競争防止法,著作権法,-
一つのアプリケーションプログラムを複数の処理単位に分けて、それらを並列に処理すること,H30A059,マルチスレッド,マルチコアプロセッサ,仮想記憶,ストライピング
CPUに複数のコア（演算回路）を搭載していること,H30A059,マルチコアプロセッサ,仮想記憶,ストライピング,マルチスレッド
ハードディスクなどの外部記憶装置を利用して、主記憶よりも大きな容量の記憶空間を実現すること,H30A059,仮想記憶,ストライピング,マルチスレッド,マルチコアプロセッサ
一つのデータを分割して、複数のハードディスクに並列に書き込むこと,H30A059,ストライピング,マルチスレッド,マルチコアプロセッサ,仮想記憶
内部ネットワーク内のPCに代わってインターネットに接続する,H30A064,プロキシサーバ,DNS,DHCP,NAT
ドメイン名とIPアドレスの対応関係を管理する,H30A064,DNS,DHCP,NAT,プロキシサーバ
ネットワークに接続するために必要な情報をPCに割り当てる,H30A064,DHCP,NAT,プロキシサーバ,DNS
プライベートIPアドレスとグローバルIPアドレスを相互変換する,H30A064,NAT,プロキシサーバ,DNS,DHCP
一定期間又は一定量のデータを集め、一括して処理する方式,H30A094,バッチ処理,リアルタイム処理,分散処理,対話型処理
データの処理要求があれば即座に処理を実行して、制限時間内に処理結果を返す方式,H30A094,リアルタイム処理,分散処理,対話型処理,バッチ処理
複数のコンピュータやプロセッサに処理を分散して、実行時間を短縮する方式,H30A094,分散処理,対話型処理,バッチ処理,リアルタイム処理
利用者からの処理要求に応じて、あたかも対話をするように、コンピュータが処理を実行して作業を進める処理方式,H30A094,対話型処理,バッチ処理,リアルタイム処理,分散処理
社内でPDCAサイクルを継続的に運用するという方法によって、製造部門における歩留りの向上を実現した。この事例のが示すような業務改善の考え方,H29A006,BPM,ASP,BPO,SFA
企業経営に携わる役職の一つで財務に対して責任を持っている役職,H29A023,CFO,CTO,CIO,CHO
企業経営に携わる役職の一つで技術に対して責任を持っている役職,H29A023,CTO,CIO,CHO,CFO
企業経営に携わる役職の一つで情報に対して責任を持っている役職,H29A023,CIO,CHO,CFO,CTO
企業経営に携わる役職の一つで人事に対して責任を持っている役職,H29A023,CHO,CFO,CTO,CIO
自社が保有する複数の事業への経営資源の配分を最適化するために「市場成長率と市場シェア」を評価軸として行う分析,H29A029,PPM,技術資源分析,アンゾフの成長マトリクス,SWOT分析
自社が保有する複数の事業への経営資源の配分を最適化するために「技術と製品」を評価軸として行う分析,H29A029,技術資源分析,アンゾフの成長マトリクス,SWOT分析,PPM
自社が保有する複数の事業への経営資源の配分を最適化するために「製品と市場」を評価軸として行う分析,H29A029,アンゾフの成長マトリクス,SWOT分析,PPM,技術資源分析
自社が保有する複数の事業への経営資源の配分を最適化するために「強み・弱みと機会・脅威」を評価軸として行う分析,H29A029,SWOT分析,PPM,技術資源分析,アンゾフの成長マトリクス
顧客のニーズに合致したサービスを提供するために、組織が情報システムの運用の維持管理及び継続的な改善を行なっていく取り組み,H29A052,ITサービズマネジメント,ITガバナンス,サービスデスク,プロジェクトマネジメント
電気的に書換え可能な、不揮発性のメモリ,H29A067,フラッシュメモリ,UV-EPROM,SRAM,DRAM
紫外線を利用してデータを消去し、書き換えることができるメモリ,H29A067,UV-EPROM,SRAM,DRAM,フラッシュメモリ
データ読み出し速度が速いメモリで、CPUと主記憶の性能差を埋めるキャッシュメモリ,H29A067,SRAM,DRAM,フラッシュメモリ,UV-EPROM
リフレッシュ動作が必要なメモリで、主記憶によく使われる,H29A067,DRAM,フラッシュメモリ,UV-EPROM,SRAM
アプリケーションプログラミヤデバイスドライバなどを安全に配布したり、それらが不正に改善されていないことを確認したりするために利用するもの,H29A072,コード署名,SMRP,WPA2,電子透かし
通常使用される主系と、その主系の故障に備えて待機しつつ他の処理を実行している従系の二つから構成されるコンピュータシステム,H29A087,デュプレックスシステム,クライアントサーバシステム,デュアルシステム,ピアツーピアシステム
一連のプロセスにおけるボトルネックの解消などによって、プロセス全体の最適化を図ることを目的とする考え方,H29H006,TOC,CRM,HRM,SFA
データの流れに着目し、業務のデータの流れと処理の関係を表記する,H29H014,DFD,状態遷移図,E-R図,UMLのクラス図
時間の経過や状態の変化に伴う、システムの状態の遷移を表記する,H29H014,状態遷移図,E-R図,UMLのクラス図,DFD
システムで扱う実体同士を関連づけて、データの構造を表記する,H29H014,E-R図,UMLのクラス図,DFD,状態遷移図
システムを構成する要素の属性や操作、要素同士の関係を表記する,H29H014,UMLのクラス図,DFD,状態遷移図,E-R図
組織の業務プロセスの効率的、効果的な手順を考え、その実行状況を監視して問題点を発見、改善するサイクルを継続的に繰り返すこと,H29H029,BPM,BCP,SCM,BPR
地震、火災、IT障害及び疫病の流行などのリスクを洗い出し、それが発生した時にも業務プロセスが停止しないように、あらかじめ対処方法を考えておくこと,H29H029,BCP,SCM,BPR,BPM
製品の供給者から消費者までをつなぐ一連の業務プロセスの最適化や効率の向上を図り、顧客のニーズに応えるとともにコストの低減などを実現すること,H29H029,SCM,BPR,BPM,BCP
組織、職務、業務フロー、管理体制、情報システムなどを抜本的に見直して、業務プロセスを再構築すること,H29H029,BPR,BPM,BCP,SCM
経営目標を達成するために、情報システム戦略を策定し、戦略の実行を統制すること,H29H040,ITガバナンス,-,-,-
１台のPCで、複数のアプリケーションプログラムを少しずつ互い違いに並行して実行するOSの機能,H29H073,マルチタスク,仮想現実,デュアルコア,デュアルシステム
通信が急増し、ネットワークの許容量を超え、つながりにくくなること,H29H096,輻輳,パケット消失,ルーティングテーブル,ブロードキャスト
回線の接続が一瞬途切れ、通信データのパケットが消失すること,H29H096,パケット消失,ルーティングテーブル,ブロードキャスト,輻輳
経路情報が書き換えられ、通信データが誤った宛先に届くこと,H29H096,ルーティングテーブル,ブロードキャスト,輻輳,パケット消失
一つのパケットを不特定多数のノードに対して同時に送信すること,H29H096,ブロードキャスト,輻輳,パケット消失,ルーティングテーブル
